,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1166682,0.3344608010273685,0.2777777777777778,0,2024-09-27 10:58:34.446609,"['32216', '32220', '32223', '32227', '32229', '32230', '32231', '32233', '32235', '32236', '32237', '32238', '32239', '32240', '32242', '32244', '32245', '32246', '32247', '32249', '32255', '32257', '32259', '32261', '32262', '32264', '32267', '32271', '32272', '32274', '32276', '32277', '32278', '32279', '32280', '32281', '32282', '32283', '32285', '32287']"
1,1418787,0.2813547990992781,0.5555555555555556,0,2024-09-27 10:58:34.469216,"['32214', '32216', '32217', '32218', '32219', '32220', '32224', '32225', '32226', '32227', '32228', '32229', '32230', '32231', '32232', '32238', '32240', '32243', '32246', '32249', '32252', '32255', '32256', '32258', '32259', '32261', '32262', '32263', '32265', '32267', '32271', '32272', '32274', '32275', '32276', '32277', '32282', '32286', '32287', '32288']"
2,1270751,0.3868450471716116,0.4722222222222222,0,2024-09-27 10:58:34.491859,"['32215', '32216', '32217', '32219', '32224', '32225', '32232', '32233', '32234', '32235', '32240', '32241', '32243', '32244', '32246', '32248', '32249', '32250', '32252', '32253', '32254', '32256', '32260', '32263', '32265', '32266', '32267', '32268', '32269', '32270', '32271', '32273', '32274', '32276', '32277', '32280', '32282', '32285', '32286', '32288']"
3,1244101,0.30517683802323375,0.5,0,2024-09-27 10:58:34.514550,"['32214', '32216', '32217', '32219', '32221', '32222', '32223', '32225', '32229', '32234', '32235', '32236', '32237', '32238', '32239', '32241', '32242', '32243', '32244', '32245', '32247', '32250', '32251', '32252', '32255', '32256', '32257', '32261', '32263', '32264', '32265', '32270', '32271', '32274', '32277', '32279', '32280', '32283', '32287', '32288']"
4,1580874,0.2955310823202095,0.5,0,2024-09-27 10:58:34.537874,"['32214', '32215', '32216', '32219', '32220', '32221', '32223', '32224', '32226', '32227', '32228', '32229', '32230', '32232', '32234', '32236', '32237', '32239', '32240', '32242', '32244', '32247', '32250', '32251', '32253', '32256', '32260', '32261', '32264', '32268', '32269', '32271', '32274', '32279', '32280', '32281', '32282', '32284', '32286', '32288']"
5,1249683,0.34851106412894084,0.4166666666666667,5,2024-09-27 10:58:34.695466,"['32215', '32217', '32222', '32223', '32226', '32233', '32234', '32235', '32237', '32238', '32239', '32240', '32241', '32242', '32243', '32244', '32247', '32251', '32252', '32254', '32255', '32258', '32259', '32261', '32263', '32264', '32265', '32268', '32269', '32271', '32273', '32274', '32275', '32276', '32277', '32278', '32279', '32282', '32284', '32286']"
6,897289,0.37048762871202195,0.3888888888888889,5,2024-09-27 10:58:34.718685,"['32215', '32216', '32221', '32222', '32223', '32226', '32227', '32229', '32230', '32232', '32233', '32234', '32235', '32237', '32239', '32240', '32242', '32243', '32248', '32250', '32251', '32254', '32255', '32256', '32259', '32260', '32262', '32263', '32264', '32265', '32268', '32269', '32271', '32272', '32275', '32276', '32278', '32279', '32282', '32286']"
7,871097,0.29981614926384526,0.6111111111111112,5,2024-09-27 10:58:34.741409,"['32214', '32216', '32222', '32226', '32228', '32229', '32231', '32233', '32234', '32236', '32240', '32243', '32244', '32247', '32248', '32249', '32250', '32252', '32253', '32255', '32259', '32260', '32262', '32265', '32266', '32267', '32268', '32270', '32271', '32272', '32273', '32276', '32277', '32278', '32281', '32282', '32284', '32285', '32287', '32288']"
8,854755,0.4154542056660014,0.3611111111111111,5,2024-09-27 10:58:34.764813,"['32214', '32215', '32217', '32219', '32221', '32224', '32226', '32227', '32228', '32229', '32230', '32233', '32234', '32236', '32239', '32240', '32241', '32242', '32243', '32244', '32245', '32250', '32253', '32256', '32257', '32259', '32261', '32263', '32265', '32267', '32269', '32272', '32273', '32274', '32275', '32280', '32281', '32283', '32284', '32286']"
9,223069,0.3742448515982647,0.4722222222222222,5,2024-09-27 10:58:34.787529,"['32216', '32218', '32219', '32220', '32223', '32224', '32225', '32227', '32228', '32230', '32231', '32234', '32235', '32236', '32237', '32238', '32239', '32240', '32242', '32243', '32246', '32250', '32251', '32258', '32261', '32262', '32264', '32265', '32266', '32267', '32268', '32269', '32270', '32275', '32279', '32280', '32283', '32284', '32285', '32286']"
